punkts,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10
U1,x,30.9,31,58.5,166,150,250,222,315,101,28.7,59.6,2.9,103,173,249,319,293,180,222
U2,30.9,x,21.9,38.1,152,134,234,206,299,87.1,22.1,39.1,33.5,62.4,158,243,304,279,168,207
U3,31,21.9,x,27.5,137,119,220,191,284,69.8,50,28.3,33.1,88.2,142,227,289,263,153,192
U4,58.5,38.1,27.5,x,116,98.5,199,170,263,49,55.1,1.1,60.5,60.8,122,206,268,242,132,171
U5,166,152,137,116,x,78,82.7,54.4,148,72.9,169,114,170,156,85.4,102,151,126,34.8,54.2
U6,150,134,119,98.5,78,x,144,116,209,46.9,151,96.9,152,108,22.8,164,213,187,62.9,116
U7,250,234,220,199,82.7,144,x,30.3,65,157,251,197,252,239,155,36.3,68.9,43.2,101,29.9
U8,222,206,191,170,54.4,116,30.3,x,95,128,223,169,224,210,127,50.8,99,73.3,72.2,0.4
U9,315,299,284,263,148,209,65,95,x,222,316,262,317,303,220,84.5,5.5,22.1,165,94.7
U10,101,87.1,69.8,49,72.9,46.9,157,128,222,x,101,46.9,102,82.2,69.9,154,225,199,83.3,127
K1,28.7,22.1,50,55.1,169,151,251,223,316,101,x,55.4,31.3,82.1,174,257,321,295,185,223
K2,59.6,39.1,28.3,1.1,114,96.9,197,169,262,46.9,55.4,x,69.1,60.4,120,205,267,241,131,169
K3,2.9,33.5,33.1,60.5,170,152,252,224,317,102,31.3,69.1,x,117,176,260,322,296,215,224
K4,103,62.4,88.2,60.8,156,108,239,210,303,82.2,82.1,60.4,117,x,106,243,308,282,159,211
K5,173,158,142,122,85.4,22.8,155,127,220,69.9,174,120,176,106,x,175,224,198,54.7,127
K6,249,243,227,206,102,164,36.3,50.8,84.5,154,257,205,260,243,175,x,88.8,68.4,120,49.9
K7,319,304,289,268,151,213,68.9,99,5.5,225,321,267,322,308,224,88.8,x,26,169,108
K8,293,279,263,242,126,187,43.2,73.3,22.1,199,295,241,296,282,198,68.4,26,x,144,72.9
K9,180,168,153,132,34.8,62.9,101,72.2,165,83.3,185,131,186,159,54.7,120,169,144,x,73
K10,222,207,192,171,54.2,116,29.9,0.4,94.7,127,223,169,224,211,127,49.9,108,72.9,73,x