punkts,jautājums1,P1A,1B,1C,jautājums2,P2A,2B,2C,jautājums3,P3A,3B,3C
K1,Kā vel tiek saukts Raunas pilskalns?,Tanīsa kalns,Pērkona kalns,Augusta kalns,Kāds ir Raunas pilskalna augstums virs jūras līmeņa?,60,53,64,Kas pirmie dzīvoja Raunā?,Baltijas somi,Latgaļi,Franki
K2,Kad atklāja Siguldas bobsleja trasi?,1986.gadā,1990.gadā,1993.gadā,Cik virāžas ir Siguldas bobsleja trasē?,16,17,22,Cik gara ir pilnā trase?,1420m,1520m,1440m
K3,"Kā sauc izstāžu galeriju, kas atrodas VVĢ?",Ledus pagrabs,Spēļu zāle,Izstāžu zāle,Kas skolas ēkā bija pirms Valsts ģimnāzijas? ,Vidzemes Skolotāju seminārs,Valmieras jaunatnes centrs,Valmieras mūzikas skola,Kas Valmieras Valsts ģimnāzijai bija vienīgais no visām Latvijas skolām? ,ģerbonis,himna,karogs
K4,Kā sauc bērnudārzu kas atrodas Meņģelē?,Auseklītis,Burtiņš,Sprīdītis,Kad rakstos pirmoreiz pieminēta Meņģele? (Aptuveni),1490,1360,1500,Kādu baznīcu var redzēt no Meņģeles skatu torņa?,Aderkašu baznīca,Svētā Jāņa baznīca,Svētā Imanta baznīca
K5,Kādas divas upes tek gar Bauskas pilskalnu?,Mēmele un Mūsa,Abava un Bebrupīte,Veldze un Riežupe,Kurš karaspēks 1701.gadā ieņēma pili?,Zviedrijas, Krievijas,Polijas,Kāda vēl tauta piedalījās Bauskas pils celtniecībā?,Somugru tauta,Līvu tauta,Latgaļu tauta
K6,Cik plats ir Ventas ūdenskritums?,100m,85m,130m,Kopš kura gada Ventas rumbai piešķirts īpašs aizsardzibas statuss?,1957,1960,1952,"Ko īpatnēju dara zivis Ventas rumbā, pavasarī?",Lec pa gaisu pāri ūdenskritumam,Peld ar kājām gaisā,Bļauj
K7,Kurš pavēlēja būvēt Karostu?,ķeizars Aleksandrs III,ķeizars Nikolajs II,Andrejs III,Cik zelta rubļu izmaksāja Karostas izbūve?,45 milj.,120 milj.,35 milj.,Kas padomju laikā atradās Karostā?,Karabāze,Latvijas PSR galvaspilsēta,Staļina rezidence
K8,Pie kāda purva ir uzcelta Durbes pils?,Durbes purvāja,Dunikas purva,Tīreļu purva,Kurā gadsimtā uzcēla Durbes pili?,14,15,13,Kurā karā Durbes pils gāja bojā?,Ziemeļu karā,Livonijas pilsoņu karā,Simtgadu karā
K9,Kur pirmo reizi minēta Tērvetes koka pils?,Livonijas Indriķa hronikā,Atskaņu hronikā,Jerošinas Nikolaja hronikā,Kurš no pilskalniem nav Tērvetes pilskalna kompleksā?,Vaidavas pilskalns,Klosterkalns,Putnu kalns,Kurš valdnieks nevaldīja pār Tērvetes pili?,Jēkabs Ketlers,Viestards,Šābis
K10,Cik gara ir Cieceres dabas taka?,370m,570m,900m,Kurā pilsētā ir uzbūvēta Cieceres dabas taka?,Saldū,Talsos,Skrundā,Līdz kurienei aizved Cieceres dabas taka?,Saldus ezeram,Saldus pilskalnam,Saldus sporta kompleksam
U1,Kurš ir Valmieras sauklis?,Dzīvojam zaļi!,"Pilsēta, kurā piedzimst vējš!",Pilsēta izaugsmei!,,,,,,,,
U2,Kāds festivāls notiek Cēsīs?,Sarunu festivāls- LAMPA,Positivus,Džeza festivāli,,,,,,,,
U3,Kādā savienībā ietilpa Straupe?,Hanzas savienībā,Arhitektu savienībā,Tirgotāju savienībā,,,,,,,,
U4,Kāda pils ir netālu no Siguldas?,Turaidas pils,Mežotnes pils,Bīriņu pils,,,,,,,,
U5,Kā ir attēlota Dobeles strūklaka?,aka ar spaini,Koks,Medus lāse,,,,,,,,
U6,Kāds uzņēmums ir dibināts Iecavā?,Balticovo,Melnais barons,SIA Cido,,,,,,,,
U7,Kad ir Skrundas svētki?,9. maijs,14. augusts,27. marts,,,,,,,,
U8,Kas izveidoja Saldus ģerboni?,Arta Strautiņa,Ēriks Ķiģelis,Ralfs Unāms,,,,,,,,
U9,Kā sākotnēji sauca Liepājas metalurgu?,Boker u. Co,Liepājas drāšu fabrika,Sarkanais metalurgs,,,,,,,,
U10,Kurā gadā tika dibināta Rīga?,1201,873,1357,,,,,,,,